-0.1152,-0.11625,-0.1171,-0.11636,-0.11251,-0.11677,-0.11772,-0.1137,-0.11677,-0.11616,-0.11993,-0.11926,-0.12011,-0.1186,-0.11353,-0.11596,-0.11794,-0.1152,-0.1141,-0.11535,-0.11719,-0.11647,-0.11193,-0.11264,-0.11687,-0.11634,-0.11324,-0.11504,-0.11692,-0.11665,-0.11282,-0.11706,1
-0.11636,-0.11068,-0.11364,-0.11796,-0.1172,-0.11434,-0.11374,-0.11445,-0.11515,-0.11701,-0.11668,-0.1156,-0.11532,-0.11601,-0.11604,-0.1163,-0.11606,-0.11616,-0.11566,-0.11513,-0.11403,-0.115,-0.11663,-0.11585,-0.11481,-0.11517,-0.11591,-0.11054,-0.11738,-0.11515,-0.11627,-0.11711,1
-0.11718,-0.11765,-0.11777,-0.11774,-0.11779,-0.11776,-0.11752,-0.11782,-0.11769,-0.11763,-0.11768,-0.11776,-0.11785,-0.11774,-0.11767,-0.11743,-0.11545,-0.11774,-0.11768,-0.11768,-0.11763,-0.1179,-0.1183,-0.11768,-0.11797,-0.11726,-0.11801,-0.11788,-0.11786,-0.11521,-0.1179,-0.11831,1
-0.11884,-0.11483,-0.11617,-0.11292,-0.11914,-0.11765,-0.11843,-0.11708,-0.1164,-0.11706,-0.11866,-0.11772,-0.11464,-0.11701,-0.1156,-0.11452,-0.11906,-0.11398,-0.11586,-0.11918,-0.11731,-0.11893,-0.1131,-0.1159,-0.11756,-0.11176,-0.11757,-0.11969,-0.11205,-0.11582,-0.11277,-0.11751,1
-0.10529,-0.10955,-0.11148,-0.11431,-0.11353,-0.11459,-0.11442,-0.11505,-0.1133,-0.1078,-0.11264,-0.11592,-0.10975,-0.10846,-0.10325,-0.1087,-0.111,-0.10953,-0.11311,-0.10935,-0.11226,-0.10827,-0.10485,-0.11033,-0.11139,-0.10951,-0.11347,-0.11378,-0.11544,-0.11391,-0.11275,-0.11771,1
-0.11954,-0.12126,-0.1178,-0.11398,-0.11402,-0.11732,-0.11609,-0.11301,-0.11501,-0.11487,-0.11457,-0.11827,-0.11656,-0.11293,-0.11235,-0.1105,-0.11796,-0.11342,-0.11221,-0.11319,-0.10982,-0.11501,-0.112,-0.11495,-0.11268,-0.11741,-0.11243,-0.11978,-0.11103,-0.11809,-0.11727,-0.11875,1
-0.11712,-0.11577,-0.11775,-0.11809,-0.11625,-0.11708,-0.11748,-0.11766,-0.11799,-0.11797,-0.11791,-0.11973,-0.11545,-0.11953,-0.11248,-0.11391,-0.12052,-0.11582,-0.11573,-0.11295,-0.11552,-0.11244,-0.11666,-0.1181,-0.11696,-0.11743,-0.11678,-0.11686,-0.11492,-0.11512,-0.11541,-0.11083,1
-0.10878,-0.11859,-0.11931,-0.11703,-0.11766,-0.11552,-0.11976,-0.11862,-0.1166,-0.11997,-0.11832,-0.11721,-0.11783,-0.11773,-0.1179,-0.1195,-0.11811,-0.11732,-0.11772,-0.11786,-0.11699,-0.11911,-0.11813,-0.11629,-0.11345,-0.11929,-0.11877,-0.11914,-0.11933,-0.11534,-0.11988,-0.11694,1
-0.096781,-0.10504,-0.11092,-0.11784,-0.115,-0.11751,-0.11308,-0.096588,-0.063572,-0.025557,-0.057931,-0.098436,-0.11853,-0.11521,-0.11816,-0.11902,-0.11344,-0.11853,-0.11813,-0.11926,-0.1166,-0.11933,-0.12109,-0.11821,-0.11149,-0.11662,-0.11863,-0.11725,-0.11821,-0.121,-0.10498,-0.10101,1
-0.11387,-0.11523,-0.11169,-0.09522,-0.091671,-0.080869,-0.016615,0.006589,0.029668,0.18213,0.18808,0.10909,-0.091038,-0.10106,-0.09261,-0.085703,-0.087772,-0.071628,-0.10582,-0.11435,-0.11232,-0.11473,-0.11359,-0.11895,-0.11685,-0.11595,-0.12067,-0.11645,-0.11189,-0.11759,-0.11825,-0.1159,1
-0.11569,-0.11678,-0.11647,-0.11694,-0.1137,-0.11956,-0.1148,-0.12055,-0.11773,-0.11797,-0.11702,-0.11876,-0.10535,-0.11481,-0.11545,-0.11301,-0.11719,-0.11656,-0.11401,-0.11806,-0.11558,-0.11825,-0.1166,-0.1168,-0.1169,-0.11652,-0.1152,-0.11613,-0.11745,-0.11717,-0.11588,-0.11934,1
-0.11847,-0.1175,-0.11868,-0.11751,-0.11438,-0.11508,-0.11951,-0.1183,-0.11661,-0.11624,-0.11777,-0.11652,-0.11812,-0.12132,-0.11849,-0.11692,-0.11778,-0.11808,-0.11754,-0.11498,-0.12087,-0.1105,-0.11409,-0.11347,-0.11399,-0.1165,-0.11693,-0.11695,-0.11514,-0.11759,-0.11299,-0.11773,1
-0.11468,-0.11442,-0.11059,-0.10878,-0.10791,-0.10815,-0.11518,-0.10618,-0.11055,-0.10981,-0.11448,-0.11384,-0.11404,-0.11484,-0.10991,-0.11043,-0.11265,-0.11411,-0.11667,-0.11431,-0.11649,-0.11362,-0.11541,-0.11698,-0.11446,-0.11641,-0.11673,-0.10583,-0.10921,-0.10787,-0.11525,-0.11224,1
-0.1163,-0.11878,-0.11572,-0.11691,-0.11869,-0.12036,-0.11749,-0.11678,-0.11605,-0.11725,-0.11554,-0.1168,-0.11825,-0.11835,-0.11879,-0.11447,-0.11398,-0.11499,-0.11948,-0.1161,-0.11538,-0.11768,-0.1191,-0.11689,-0.11449,-0.114,-0.11587,-0.11204,-0.11602,-0.11602,-0.12015,-0.11082,1
-0.11736,-0.1135,-0.11767,-0.12132,-0.1186,-0.11768,-0.11966,-0.11244,-0.12084,-0.11806,-0.11659,-0.11869,-0.11863,-0.12024,-0.11245,-0.11583,-0.12088,-0.11359,-0.11699,-0.11501,-0.11289,-0.11711,-0.11831,-0.11917,-0.11566,-0.1174,-0.11697,-0.11519,-0.11367,-0.11551,-0.11905,-0.11445,1
-0.11778,-0.11773,-0.11782,-0.11786,-0.11781,-0.11809,-0.11806,-0.11706,-0.11652,-0.10898,-0.11533,-0.11742,-0.11695,-0.11762,-0.11757,-0.11775,-0.11781,-0.11772,-0.11902,-0.1175,-0.1172,-0.11781,-0.11777,-0.1178,-0.11784,-0.11797,-0.11786,-0.11794,-0.11775,-0.11822,-0.11802,-0.11811,1
